id,bounding_box,numero_do_frame,nome_do_video
297,"858,599,1142,713",5424,PeaceBridge1_ex.mp4
297,"836,575,1131,707",5425,PeaceBridge1_ex.mp4
297,"823,557,1123,705",5426,PeaceBridge1_ex.mp4
297,"821,549,1118,708",5427,PeaceBridge1_ex.mp4
297,"807,530,1097,703",5428,PeaceBridge1_ex.mp4
297,"805,522,1087,705",5429,PeaceBridge1_ex.mp4
297,"794,497,1061,685",5430,PeaceBridge1_ex.mp4
297,"788,477,1039,665",5431,PeaceBridge1_ex.mp4
297,"784,460,1021,646",5432,PeaceBridge1_ex.mp4
297,"785,454,1012,639",5433,PeaceBridge1_ex.mp4
297,"778,436,993,615",5434,PeaceBridge1_ex.mp4
297,"773,422,977,594",5435,PeaceBridge1_ex.mp4
297,"774,419,969,585",5436,PeaceBridge1_ex.mp4
297,"768,405,953,562",5437,PeaceBridge1_ex.mp4
297,"768,402,946,552",5438,PeaceBridge1_ex.mp4
297,"761,389,931,532",5439,PeaceBridge1_ex.mp4
297,"756,380,919,517",5440,PeaceBridge1_ex.mp4
297,"753,372,908,502",5441,PeaceBridge1_ex.mp4
297,"753,369,903,496",5442,PeaceBridge1_ex.mp4
297,"748,359,892,480",5443,PeaceBridge1_ex.mp4
297,"745,351,883,467",5444,PeaceBridge1_ex.mp4
297,"745,349,879,461",5445,PeaceBridge1_ex.mp4
297,"741,340,870,448",5446,PeaceBridge1_ex.mp4
297,"741,337,865,442",5447,PeaceBridge1_ex.mp4
297,"735,328,855,429",5448,PeaceBridge1_ex.mp4
297,"732,321,848,418",5449,PeaceBridge1_ex.mp4
297,"730,315,842,409",5450,PeaceBridge1_ex.mp4
297,"730,313,840,405",5451,PeaceBridge1_ex.mp4
297,"725,306,831,394",5452,PeaceBridge1_ex.mp4
297,"722,301,826,386",5453,PeaceBridge1_ex.mp4
297,"722,300,824,383",5454,PeaceBridge1_ex.mp4
297,"720,292,817,373",5455,PeaceBridge1_ex.mp4
297,"719,290,814,369",5456,PeaceBridge1_ex.mp4
297,"716,284,808,361",5457,PeaceBridge1_ex.mp4
297,"713,280,802,353",5458,PeaceBridge1_ex.mp4
297,"712,276,798,347",5459,PeaceBridge1_ex.mp4
297,"711,274,796,345",5460,PeaceBridge1_ex.mp4
297,"709,269,791,338",5461,PeaceBridge1_ex.mp4
297,"708,265,787,331",5462,PeaceBridge1_ex.mp4
297,"708,261,784,325",5463,PeaceBridge1_ex.mp4
297,"705,259,779,321",5464,PeaceBridge1_ex.mp4
297,"704,256,776,316",5465,PeaceBridge1_ex.mp4
297,"704,255,775,315",5466,PeaceBridge1_ex.mp4
297,"703,250,771,308",5467,PeaceBridge1_ex.mp4
297,"701,248,767,304",5468,PeaceBridge1_ex.mp4
297,"701,248,765,302",5469,PeaceBridge1_ex.mp4
297,"699,243,762,296",5470,PeaceBridge1_ex.mp4
297,"698,241,760,295",5471,PeaceBridge1_ex.mp4
297,"695,237,757,290",5472,PeaceBridge1_ex.mp4
297,"692,234,753,286",5473,PeaceBridge1_ex.mp4
297,"689,232,749,282",5474,PeaceBridge1_ex.mp4
297,"689,231,747,280",5475,PeaceBridge1_ex.mp4
297,"687,227,745,275",5476,PeaceBridge1_ex.mp4
297,"686,226,744,273",5477,PeaceBridge1_ex.mp4
297,"685,223,742,269",5478,PeaceBridge1_ex.mp4
297,"684,219,739,265",5479,PeaceBridge1_ex.mp4
297,"682,218,737,262",5480,PeaceBridge1_ex.mp4
297,"682,217,735,261",5481,PeaceBridge1_ex.mp4
297,"680,214,733,258",5482,PeaceBridge1_ex.mp4
297,"680,213,732,256",5483,PeaceBridge1_ex.mp4
297,"679,210,730,252",5484,PeaceBridge1_ex.mp4
297,"678,208,727,249",5485,PeaceBridge1_ex.mp4
297,"678,207,726,246",5486,PeaceBridge1_ex.mp4
297,"679,207,725,245",5487,PeaceBridge1_ex.mp4
297,"678,205,722,241",5488,PeaceBridge1_ex.mp4
297,"678,204,720,239",5489,PeaceBridge1_ex.mp4
297,"677,204,719,237",5490,PeaceBridge1_ex.mp4
297,"676,200,717,234",5491,PeaceBridge1_ex.mp4
297,"676,199,716,232",5492,PeaceBridge1_ex.mp4
297,"676,196,714,229",5493,PeaceBridge1_ex.mp4
297,"675,195,712,228",5494,PeaceBridge1_ex.mp4
